Trade_ID,Entry_Time,Exit_Time,Direction,Entry_Price,Exit_Price,P&L,P&L_%,R_Multiple,Exit_Reason
117,2026-01-22 15:00:00+00:00,2026-01-26 16:00:00+00:00,long,1.1737089157104492,1.1905847869813442,393.9418186665886,3.9394181866658857,0.0,take_profit
118,2026-02-11 05:00:00+00:00,2026-02-11 13:00:00+00:00,long,1.1921793222427368,1.1879010307192803,-164.38572032726702,-1.6438572032726702,-1.016361671385929,stop_loss
119,2026-02-06 14:00:00+00:00,2026-02-17 13:00:00+00:00,long,1.1821727752685547,1.1821727752685547,-1.9735305376607968,-0.01973530537660797,0.0,stop_loss
120,2026-02-12 18:00:00+00:00,2026-02-18 19:00:00+00:00,short,1.1868027448654175,1.1789642965793607,394.6281010336888,3.9462810103368877,0.0,take_profit
121,2026-02-20 17:00:00+00:00,2026-02-23 11:00:00+00:00,long,1.1784114837646484,1.1784114837646484,-2.761394993359939,-0.02761394993359939,0.0,stop_loss
122,2026-02-25 05:00:00+00:00,2026-03-02 00:00:00+00:00,long,1.1804981231689453,1.1764359714388848,-167.9674284494207,-1.6796742844942072,-1.0172322465165418,stop_loss
123,2026-02-25 17:00:00+00:00,2026-03-02 00:00:00+00:00,long,1.1810559034347534,1.1767129944562913,-167.7834795883079,-1.6778347958830793,-1.0161182286681927,stop_loss
124,2026-02-27 18:00:00+00:00,2026-03-02 00:00:00+00:00,long,1.1821727752685547,1.178794658601284,-168.54359835756213,-1.6854359835756214,-1.0207216052299808,stop_loss
125,2026-02-11 15:00:00+00:00,2026-03-02 16:00:00+00:00,short,1.1862396001815796,1.167765455842018,396.6752684182586,3.966752684182586,0.0,take_profit
126,2026-03-06 11:00:00+00:00,2026-03-09 19:00:00+00:00,short,1.1566041707992554,1.1629664179086685,-165.3066944001483,-1.6530669440014831,-1.0110024019495303,stop_loss
127,2026-03-18 16:00:00+00:00,2026-03-19 13:00:00+00:00,short,1.151410460472107,1.151410460472107,-2.330907600101366,-0.023309076001013663,0.0,stop_loss
128,2026-03-24 22:00:00+00:00,2026-03-26 06:00:00+00:00,long,1.1618449687957764,1.1557586159706117,-162.8447576447142,-1.628447576447142,-1.011501140668444,stop_loss
129,2026-03-19 16:00:00+00:00,2026-03-26 11:00:00+00:00,long,1.1539349555969238,1.1539349555969238,-1.1477617194349128,-0.011477617194349128,0.0,stop_loss
130,2026-03-25 15:00:00+00:00,2026-04-01 00:00:00+01:00,short,1.1574074029922485,1.1574074029922485,-1.732170839372194,-0.017321708393721942,0.0,stop_loss
